id,town,year,source,filename,caption,dimensions
1,"New Philadelphia, IL",Unknown,Free Frank New Philadelphia Historic Preservation Foundation,NewPhilly_IL_320x320.png,"Map of New Philadelphia, IL. Free Frank New Philadelphia Historic Preservation Foundation.",320x320
2,"Allensworth, CA",1915,California State Parks,Allensworth_1915.jpg,"Allensworth, CA (1915). California State Parks.",320x320
3,"Tuskegee, AL",1907,A.P. Bedou,APBedou_Tuskegee_1907.jpeg,"Tuskegee, AL (1907). Photo by Arthur P. Bedou.",320x320
4,"Taylortown, NC",Unknown,M. E. de Nissoff,deNissoff_BreakDancingTaylortown.jpeg,Break Dancing in Taylortown. Photo by M. E. Nissoff,320x320
5,"Clearview, OK",2019,Danielle Purifoy,DPurifoy_AllBlackTowns_ClearView_2019.jpeg,Clearview Community Center (2019). Photo by Danielle Purifoy.,320x320
6,"Clearview, OK",2019,Danielle Purifoy,DPurifoy_ClearView_Auditorium_2019.jpeg,"Clearview, OK  (2019). Photo by Danielle Purifoy.",320x320
7,"Rentiesville, OK",2019,Danielle Purifoy,DPurifoy_DownHomeBluesClub_2019.jpeg,"Down Home Blues Club, Rentiesville, OK  (2019). Photo by Danielle Purifoy.",320x320
8,"Princeville, NC",2019,Danielle Purifoy,DPurifoy_FreedomHill_2019.jpeg,"Princeville, NC  (2019). Photo by Danielle Purifoy.",320x320
9,"Rentiesville, OK",2019,Danielle Purifoy,DPurifoy_LillieLollis_2019.jpeg,"Lillie Lollis Park, Rentiesville, OK (2019). Photo by Danielle Purifory.",320x320
10,"Guthrie, OK",2019,Danielle Purifoy,DPurifoy_MelvinTolson_Guthrie_2019.jpeg,Melvin Tolson House (2019). Photo by Danielle Purifoy.,320x320
11,"Mossville, LA",2021,Danielle Purifoy,DPurifoy_MossvilleSnowBalls_2021.jpeg,"Mossville, LA (2021). Photo by Danielle Purifoy.",320x320
12,"Mossville, LA",2021,Danielle Purifoy,DPurifoy_MossvilleWaterTank_2021.jpeg,"Mossville, LA (2021). Photo by Danielle Purifoy.",320x320
13,Unknown,2018,Danielle Purifoy,DPurifoy_PowerLines_2018.jpeg,Photo by Danielle Purifoy.,320x320
14,"Princeville, NC",2019,Danielle Purifoy,DPurifoy_PrincevilleComingBack_2019.jpeg,"""Princeville is Coming Back"" (2019). Photo by Danielle Purifoy.",320x320
15,"Rentiesville, OK",2019,Danielle Purifoy,DPurifoy_Rentiesville_2019.jpeg,"Town Hall and Community Center, Rentiesville, OK (2019). Photo by Danielle Purifoy.",320x320
16,"Rentiesville, OK",2019,Danielle Purifoy,DPurifoy_Rentiesville_Houses_2019.jpeg,"Rentiesville, OK  (2019). Photo by Danielle Purifoy.",320x320
17,Unknown,2018,Danielle Purifoy,DPurifoy_Road_2018.jpeg,Photo by Danielle Purifoy.,320x320
18,"Tamina, TX",2018,Danielle Purifoy,DPurifoy_Tamina_Firewood_2018.jpeg,"Tamina, TX (2018). Photo by Danielle Purifoy.",320x320
19,"Tamina, TX",2018,Danielle Purifoy,DPurifoy_Tamina_Railroad_2018.jpeg,"Tamina, TX (2018). Photo by Danielle Purifoy.",320x320
20,"Taylortown, NC",2018,Danielle Purifoy,DPurifoy_Taylortown_2018.jpeg,Taylortown City Limit (2018). Photo by Danielle Purifoy.,320x320
21,"Edmonson, AR",1910," Central Arkansas Library, Butler Center for Arkansas Studies.",Edmondson_AR_1910.jpeg,"Edmonson, AR (c. 1910). Central Arkansas Library, Butler Center for Arkansas Studies.",320x320
22,"Africatown, AL",2019,"Julie Bennett, AP Images",JulieBennett_APImages_AfricaTown_320x320.png,"Africatown, AL. AP/Julie Bennett.",320x320
23,"Lake View, AR",Unknown,Arkansas Historic Preservation Program,LakeViewArkansas.jpeg,"Lakeview, AR. Arkansas Historic Preservation Program.",320x320
24,"Nicodemus, KS",Unknown,Library of Congress,LOC_NicodemusHistoricDistrict_320x320.jpeg,"Nicodemus Historic District, Graham County, KS. Library of Congress.",320x320
25,"Fazendeville, LA",1960,Louisiana National Guard,LouisianaNatlGuard_Fazendeville_1960_320x320.jpeg,"Fazendeville, LA (1960). Louisiana National Guard.",320x320
26,"Menfee, AR",2011,Mike Polston,MikePolston_Menifee_AR_2011.jpeg,"Menfee, AR (2011). Photo by Mike Polston.",320x320
27,"New Philadelphia, IL",Unknown,Free Frank New Philadelphia Historic Preservation Foundation,New_Philadelphia_IL_320x320.jpeg,"Map of New Philadelphia, Hadley Township, IL. Free Frank New Philadelphia Historic Preservation Foundation.",320x320
28,"Nicodemus, KS",1953,Library of Congress,Nicodemus_1953_320x320.jpeg,Aerial View of Nicodemus (1953). Library of Congress.,320x320
29,"Boley, OK",Unknown,NonDoc,"NonDoc_Boley,OK.jpeg","Boley, OK. Photo from NonDoc.",320x320
30,"Randolph, AZ",2004,Arizona State Library,Randolph_AZ_2004.jpeg,"Raldolph, AZ (2004). Arizona State Library.",320x320
31,"Idlewild, MI",1955,Ronald Stephens Collection,RonaldStephensCollection_1955_Idlewild_Brochure_320x320.jpeg,"""Come to Idlewild"" Brochure (1955). Ronald Stephens Collection.",320x320
