Town Name ,State,StateABB,Latitude,Longitude,YearEst,DecadeEst,Existing,Incorporated,YearInc,Source1,Source2,Source3
Cedarlake (Cedar Lake),Alabama,US-AL,33.637751,-87.282976,1897,1890-1899,No,No,N/A,"Henry Louis Gates & Kwame Anthony Appiah. (2005). Africana: The Encyclopedia of the African and African American Experience · Volume 3
2005. see Black Towns (p. 537).",Catherine Godbey. (2021 Feb 23). Cedar Lake: Black community dubbed a social experiment formed in Decatur in 1897. Decatur Daily. Retrieved from https://www.decaturdaily.com/news/morgan_county/decatur/cedar-lake-black-community-dubbed-a-social-experiment-formed-in-decatur-in-1897/article_2b97493f-a564-5482-b12c-a831d479b37a.html Location details from https://www.mindat.org/feature-4054242.html,"Newspaper clipping reads ""New Negro Colony Opened - Cedar Lake"" - 11/10/1897. https://img3.newspapers.com/clip/22650102/new-negro-colony-opened-cedar-lake/"
Freetown,Alabama,US-AL,32.493521,-87.666994,1867,1860-1869,No,No,N/A,https://www.alabamahistory.net/copy-of-greene,http://jeffriesfamilysite.org/index.html,(2005 Jul 22). Freetown exists once more. Demopolis Times. https://www.demopolistimes.com/2005/07/22/freetown-exists-once-more/
Greenwood Village (South Greenwood),Alabama,US-AL,33.3259448,-86.9448789,1901,1900-1909,No,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. University of Illinois Press.",,
Hobson City (Mooree Quarters),Alabama,US-AL,33.618611,-85.843333,1899,1890-1899,Yes,Yes,1899,"Anjeanne'Royston, Marian. ""In the Center of the Storm: Hobson City, Alabama and the Politics of White Supremacy, 1899-1909."" PhD diss., Auburn University, 2013.  | Caldwell, Ethel E. ""Educational implications of resources in a Negro town: Hobson City, Alabama."" PhD diss., Alabama State University, 1946.  |  Gregory, Melanie Betz. ""PLACES PERIL 2009: ALABAMA'S ENDANGERED HISTORIC LANDMARKS."" Alabama Heritage 94 (2009): 38. |  Powell, Starla. ""African American Communities and Municipalities in Antebellum and Pre-Civil Rights Movement America."" (2009).","http://www.townofhobsoncity.com/history/; Encyclopaedia of Alabama, Hobson City  http://www.townofhobsoncity.com/  HOBSON CITY-UNC HISTORIC PRESERVATION PROSPECTUS. Alberta C. McCrory, Mayor
Deneva Todd Barnes, Town Council
Carthell Green","
Hobson City Founders Day Heritage Festival  "
Kowaliga (Benson),Alabama,US-AL,32.740146,-85.9779055,1895,1890-1899,No,No,N/A,Kelley Kaze. (2019 Jan 13). Drowned towns: What traces of 'ghost' cities lie beneath Alabama's man-made lakes? https://www.al.com/living/2014/11/drowned_towns_what_traces_of_g.html,Twitter Thread by Erica Buddington 3/25/2021: https://twitter.com/ericabuddington/status/1375263363471654918?s=20,
Africatown (Plateau),Alabama,US-AL,30.734902,-88.058647,1860s,1860-1869,Yes,No,N/A,"Robertson, Natalie Suzette. ""The African ancestry of the founders of AfricaTown, Alabama."" PhD diss., University of Iowa, 1996.  |  Browne, Randy M. ""Dreams of Africa in Alabama: The Slave Ship Clotilda and the Story of the Last Africans Brought to America, and: The Slave Ship Clotilda and the Making of AfricaTown, USA: Spirit of Our Ancestors."" journal of social history 43, no. 2 (2009): 471-474.  |  Diouf, Sylviane A. Dreams of Africa in Alabama: The slave ship Clotilda and the story of the last Africans brought to America. Oxford University Press on Demand, 2007.  |  Vignes, Martha Davis. The Clotilda and Africatown USA: Local media coverage of the ship, the Africans, and the historic landmark from 1860–1991. University of South Alabama, 2011.",Bridge the Gulf Project NMAAHC Slave Wrecks Project ,"Hurston, Zora Neale. Barracoon: The Story of the Last"" Black Cargo"". HarperCollins, 2018."
Roosevelt City,Alabama,US-AL,33.440898,-86.923717,1967,1960-1969,Yes,Yes,1967,"Nichols Jr, Woodrow W. ""The Evolution of an All-Black Town: The Case of Roosevelt City, Alabama."" The Professional Geographer 26, no. 3 (1974): 298-302.", https://www.bhamwiki.com/w/Roosevelt_City ," Carlyle, Douglas. (1970, Aug). Ebony Magazine, ""Incorporation: A New Tactic for Saving Black Areas"""
Shepherdsville (Bullitt County),Kentucky,US-KY,37.987112,-85.723488,1866,1860-1869,No,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","“Bullitt County (KY) Slaves, Free Blacks, and Free Mulattoes, 1850-1870,” Notable Kentucky African Americans Database, accessed January 24, 2022, https://nkaa.uky.edu/nkaa/items/show/2291.",https://nkaa.uky.edu/nkaa/items/show/2725
Tuskegee,Alabama,US-AL,32.429928,-85.707682,1833,1830-1839,Yes,Yes,1843,"J. Todd Moye, The Tuskegee Airmen Oral History Project and Oral History in the National Park Service, Journal of American History, Volume 89, Issue 2, September 2002, Pages 580–587, https://doi.org/10.2307/3092176 |  Reverby, Susan M. Examining Tuskegee: The infamous syphilis study and its legacy. Univ of North Carolina Press, 2009.  |  Tillery, Carolyn Quick. The African-American Heritage Cookbook: Traditional Recipes and Fond Remembrances from Alabama's Renowned Tuskegee Institute. Citadel Press, 1996. |  Work, Monroe N. ""Tuskegee institute more than an educational institution."" The Journal of Educational Sociology 7, no. 3 (1933): 197-205.","Tuskegee University History Page   Encyclopedia of Alabama, Tuskegee  Tuskegee Alabama.gov List of Alabama Genealogical and Historical Societies",Tuskegee History Center  Tuskegee University Legacy Museeum Tuskegee University Digital Collections
White Hall,Alabama,US-AL,32.313866,-86.714019,1935,1930-1939,Yes,Yes,1979,"Encyclopedia of Alabama, White Hall   ",Lowndes Interpretive Center,
